# Directed graph: graphs/2016-5comments-1000CommentCap--deconvolved_.txt 
# Nodes: 58 Edges: 44
# FromNodeId	ToNodeId
81034	291302
81034	472584
65175	67350
70029	188617
17807	129293
78596	101220
78596	188617
8845	70029
8845	78596
8845	188617
34	65726
34	67350
34	101220
34	472584
132261	291302
132261	472584
112689	129293
112689	132261
184	4856
184	26496
184	111687
184	188617
7748	65726
69	67350
69	76627
67618	98543
214	26264
214	76627
214	111687
612	101220
68960	78596
68960	81034
317307	564527
317307	587523
17512	67350
98543	472584
57460	76627
57460	472584
7931	65726
7931	188617
2557	4856
2557	65726
2557	111687
2557	188617
