# Undirected graph (each unordered pair of nodes is saved once): graphs/2016-5posts--1000PostCap-_without_trolls.txt
# Nodes: 1067467 Edges: 269
# NodeId	NodeId
20	34
20	1431
20	2557
20	4856
20	5199
20	6418
20	9860
20	26264
20	29840
20	65726
20	98543
20	132261
20	159152
20	472584
34	214
34	470
34	1677
34	2557
34	4856
34	6418
34	26264
34	29840
34	57460
34	65726
34	98543
34	111687
34	129293
34	159152
34	317307
34	472584
34	564527
69	184
69	214
69	612
69	2557
69	4856
69	5199
69	6418
69	9860
69	29840
69	65272
69	65726
69	76627
69	111687
69	317307
184	215
184	612
184	2557
184	4856
184	6418
184	7931
184	8845
184	9860
184	26496
184	56986
184	65272
184	65726
184	70029
184	78596
184	81034
184	83416
184	98543
184	111687
184	112689
184	129293
184	188617
184	255681
184	472584
214	578
214	1431
214	2557
214	4856
214	5199
214	6418
214	26264
214	29840
214	33670
214	52287
214	76627
214	101220
214	111687
214	159152
214	317307
214	472584
214	564527
214	587523
215	6418
215	7931
215	78596
215	83416
215	112689
215	317307
578	612
578	9860
578	33670
612	2557
612	4856
612	6418
612	7748
612	9860
612	29840
612	56986
612	92319
612	112689
612	129293
612	255681
612	317307
1431	4856
1431	6418
1431	26264
1431	29840
1431	65726
1431	101220
1431	132261
1431	472584
2557	4856
2557	5199
2557	6418
2557	7931
2557	9860
2557	21991
2557	26887
2557	65272
2557	65726
2557	70029
2557	76627
2557	78596
2557	81034
2557	98543
2557	112689
2557	188617
2557	317307
2557	564527
4856	5199
4856	6418
4856	9860
4856	26264
4856	26496
4856	29840
4856	65726
4856	68960
4856	78596
4856	81034
4856	101220
4856	112689
4856	317307
5199	6418
5199	7748
5199	9860
5199	26264
5199	29840
5199	65726
5199	67350
5199	76627
5199	98543
5199	111687
5199	117558
5199	317307
5199	564527
5199	587523
6418	9860
6418	17807
6418	26264
6418	29840
6418	65272
6418	65726
6418	68960
6418	76627
6418	78596
6418	98543
6418	101220
6418	132261
6418	317307
6418	472584
6418	564527
6804	14427
7748	92319
7931	70029
7931	76627
7931	78596
7931	81034
7931	188617
8845	26496
8845	78596
9860	26264
9860	65726
9860	76627
9860	101220
9860	112689
9860	129293
9860	132261
9860	255681
9860	317307
17512	67350
17807	29840
21991	98543
26264	65726
26264	67350
26264	76627
26264	98543
26264	117558
26264	132261
26264	159152
26264	472584
26264	564527
26264	587523
26264	705175
26496	68960
26496	78596
26887	98543
29840	65726
29840	67350
29840	101220
29840	564527
29840	587523
52287	65726
65272	65726
65272	76627
65272	98543
65272	132261
65272	587523
65726	78596
65726	101220
65726	112689
65726	129293
65726	255681
67350	76627
67350	98543
67350	117558
67350	159152
67350	472584
68960	78596
68960	159152
70029	188617
76627	98543
76627	117558
76627	132261
76627	317307
76627	587523
76627	705175
78596	81034
78596	83416
78596	112689
78596	472584
98543	117558
98543	317307
98543	564527
98543	705175
111687	117558
111687	129293
112689	129293
112689	255681
117558	317307
117558	705175
132261	159152
132261	231025
132261	472584
132261	564527
132261	705175
159152	231025
159152	472584
159152	564527
159152	587523
159152	705175
291302	317307
291302	564527
317307	705175
472584	564527
587523	705175
