# Undirected graph (each unordered pair of nodes is saved once): graphs/2016-5comments-1000CommentCap--_without_trolls.txt
# Nodes: 1067467 Edges: 229
# NodeId	NodeId
20	215
20	1431
20	4856
20	5199
20	6418
20	9860
20	26264
20	29840
20	65726
20	76627
20	472584
34	57460
34	65726
34	67350
34	101220
34	111687
34	129115
34	472584
69	214
69	67350
69	76627
69	98543
69	117558
69	188617
184	612
184	2557
184	4856
184	6804
184	7931
184	26496
184	46769
184	56986
184	70029
184	78596
184	81034
184	83416
184	111687
184	129293
184	188617
214	578
214	26264
214	76627
214	111687
214	159152
214	587523
215	4856
215	5199
215	8845
215	65726
215	78596
215	83416
215	101220
215	129293
612	56986
612	101220
612	112689
612	129293
612	255681
1431	4856
1431	5199
1431	6418
1431	26264
1431	29840
1431	65726
1431	67350
1431	78596
1431	101220
1431	129293
1431	472584
2557	4856
2557	7931
2557	8845
2557	46769
2557	65726
2557	70029
2557	78596
2557	81034
2557	111687
2557	188617
2557	564527
4856	5199
4856	6418
4856	9860
4856	26264
4856	26496
4856	29840
4856	46769
4856	65175
4856	67350
4856	76627
4856	78596
4856	81034
4856	83416
4856	98543
4856	101220
4856	111687
4856	112689
4856	255681
4856	317307
4856	472584
5199	6418
5199	9860
5199	29840
5199	65726
5199	67350
5199	76627
5199	101220
5199	111687
5199	117558
6418	9860
6418	17807
6418	26264
6418	29840
6418	65726
6418	78596
6418	98543
6418	101220
6418	112689
6418	255681
6418	291302
6418	317307
6418	472584
6804	14427
7748	65726
7748	92319
7931	8845
7931	65726
7931	70029
7931	78596
7931	81034
7931	188617
8845	70029
8845	78596
8845	188617
9860	65175
9860	111687
9860	112689
9860	129293
9860	255681
17512	67350
17807	129293
26264	65726
26264	67350
26264	98543
26264	111687
26264	132261
26264	472584
26264	564527
26264	587523
26264	705175
26496	70029
26496	78596
26496	83416
29840	65726
29840	67350
29840	78596
29840	81034
29840	101220
29840	112689
29840	255681
29840	472584
33670	52287
46769	83416
56986	70029
57460	76627
57460	111687
57460	129115
57460	255681
57460	472584
65175	67350
65726	78596
65726	81034
65726	101220
65726	111687
65726	112689
65726	129293
65726	255681
65726	472584
65726	564527
67350	76627
67350	98543
67350	101220
67350	112689
67350	117558
67618	98543
68960	78596
68960	81034
70029	78596
70029	83416
70029	188617
76627	98543
76627	117558
76627	317307
76627	587523
78596	81034
78596	101220
78596	112689
78596	188617
81034	291302
81034	472584
98543	117558
98543	129293
98543	255681
98543	472584
101220	111687
101220	112689
101220	129293
101220	255681
111687	129115
111687	129293
111687	159152
111687	564527
112689	129293
112689	132261
112689	255681
117558	587523
129293	255681
132261	159152
132261	291302
132261	472584
132261	564527
132261	587523
291302	317307
291302	472584
317307	564527
317307	587523
472584	564527
472584	587523
587523	705175
