# Undirected graph (each unordered pair of nodes is saved once): graphs/2017-1posts--1000PostCap-_just-trolls.txt
# Nodes: 1067467 Edges: 202
# NodeId	NodeId
20	34
20	214
20	215
20	470
20	612
20	4856
20	5199
20	6418
20	7748
20	9860
20	26264
20	65726
20	78596
20	101220
20	159152
34	214
34	470
34	612
34	7748
34	26264
34	65726
34	159152
69	214
69	2557
69	4856
69	5199
69	6488
69	26264
69	67350
69	67618
69	76627
69	111687
69	317307
69	850700
184	2557
184	7931
184	46769
184	78596
184	188617
214	470
214	578
214	612
214	1431
214	2557
214	4856
214	5199
214	7748
214	26264
214	29840
214	33670
214	52287
214	65726
214	67350
214	101220
214	111687
214	129293
214	159152
214	564527
214	587523
215	4856
215	5199
215	6418
215	65726
215	78596
215	101220
470	612
470	7748
470	14427
470	26264
470	29840
470	65726
470	111687
470	159152
578	9860
578	587523
612	4856
612	5199
612	6418
612	7748
612	9860
612	26264
612	65726
612	68960
612	78596
612	159152
612	317307
612	850700
1431	29840
1431	65726
1431	68960
1431	101220
1431	129293
2557	4856
2557	7931
2557	46769
2557	67618
2557	70029
2557	78596
2557	317307
4856	5199
4856	6418
4856	9860
4856	65726
4856	67618
4856	78596
4856	101220
4856	317307
4856	850700
5199	6418
5199	6488
5199	7931
5199	9860
5199	29840
5199	65726
5199	67350
5199	76627
5199	78596
5199	101220
5199	111687
5199	317307
5199	705175
5199	850700
5199	940404
6418	6488
6418	9860
6418	29840
6418	65726
6418	68960
6418	70029
6418	76627
6418	78596
6418	98543
6418	101220
6418	279268
6418	317307
6418	850700
6488	70029
6488	98543
6488	279268
6488	850700
7748	9860
7748	26264
7748	65726
7748	159152
7931	70029
9860	65726
9860	67350
9860	68960
9860	70029
9860	78596
9860	81034
9860	101220
9860	111687
9860	129293
9860	317307
9860	587523
9860	940404
14427	65726
14427	111687
26264	29840
26264	65726
26264	159152
26264	317307
29840	65726
29840	68960
29840	101220
29840	111687
29840	129293
29840	587523
33670	52287
65175	705175
65726	68960
65726	78596
65726	101220
65726	111687
65726	129293
65726	159152
65726	317307
65726	850700
67350	111687
67350	940404
68960	78596
68960	81034
68960	101220
68960	129293
68960	317307
70029	98543
70029	129293
70029	279268
76627	101220
76627	587523
76627	705175
78596	101220
78596	850700
81034	317307
98543	279268
98543	317307
101220	129293
104257	317307
111687	129293
111687	940404
587523	705175
